Id,PreviousItems,PredictedItems,Support,Confidence,Lift
229,1,2,0.04878048780487805,0.11111111111111112,0.5061728395061729
230,2,1,0.04878048780487805,0.22222222222222224,0.5061728395061729
231,1,3,0.1951219512195122,0.4444444444444445,1.6565656565656566
232,3,1,0.1951219512195122,0.7272727272727273,1.6565656565656566
233,1,4,0.2682926829268293,0.6111111111111112,1.3919753086419755
234,4,1,0.2682926829268293,0.6111111111111112,1.3919753086419755
235,1,5,0.04878048780487805,0.11111111111111112,0.7592592592592594
236,5,1,0.04878048780487805,0.33333333333333337,0.7592592592592593
237,1,6,0.0975609756097561,0.22222222222222224,0.8282828282828283
238,6,1,0.0975609756097561,0.36363636363636365,0.8282828282828283
239,1,7,0.07317073170731707,0.16666666666666666,0.976190476190476
240,7,1,0.07317073170731707,0.4285714285714285,0.976190476190476
241,8,1,0.07317073170731707,0.37499999999999994,0.8541666666666665
242,1,8,0.07317073170731707,0.16666666666666666,0.8541666666666666
243,1,9,0.07317073170731707,0.16666666666666666,0.8541666666666666
244,9,1,0.07317073170731707,0.37499999999999994,0.8541666666666665
245,2,3,0.07317073170731707,0.3333333333333333,1.2424242424242422
246,3,2,0.07317073170731707,0.2727272727272727,1.2424242424242424
247,2,4,0.0975609756097561,0.4444444444444445,1.0123456790123457
248,4,2,0.0975609756097561,0.22222222222222224,1.0123456790123457
249,2,5,0.07317073170731707,0.3333333333333333,2.2777777777777777
250,5,2,0.07317073170731707,0.5,2.2777777777777777
251,2,6,0.07317073170731707,0.3333333333333333,1.2424242424242422
252,6,2,0.07317073170731707,0.2727272727272727,1.2424242424242424
253,2,7,0.04878048780487805,0.22222222222222224,1.3015873015873016
254,7,2,0.04878048780487805,0.2857142857142857,1.3015873015873014
255,8,2,0.04878048780487805,0.25,1.1388888888888888
256,2,8,0.04878048780487805,0.22222222222222224,1.1388888888888888
257,9,2,0.07317073170731707,0.37499999999999994,1.708333333333333
258,2,9,0.07317073170731707,0.3333333333333333,1.7083333333333333
259,2,10,0.07317073170731707,0.3333333333333333,2.2777777777777777
260,10,2,0.07317073170731707,0.5,2.2777777777777777
261,3,4,0.04878048780487805,0.18181818181818182,0.41414141414141414
262,4,3,0.04878048780487805,0.11111111111111112,0.41414141414141414
263,3,5,0.04878048780487805,0.18181818181818182,1.2424242424242424
264,5,3,0.04878048780487805,0.33333333333333337,1.2424242424242424
265,3,6,0.07317073170731707,0.2727272727272727,1.0165289256198347
266,6,3,0.07317073170731707,0.2727272727272727,1.0165289256198347
267,3,7,0.04878048780487805,0.18181818181818182,1.0649350649350648
268,7,3,0.04878048780487805,0.2857142857142857,1.0649350649350648
269,8,3,0.12195121951219512,0.625,2.3295454545454546
